Warning at line 175, column 9: Unused variable 'ignored'
Warning at line 2092, column 9: Unused variable 'rejected'
Warning at line 2213, column 9: Unused variable 'rejected'
Warning at line 2220, column 13: Unused variable 'rejected'
Warning at line 2258, column 9: Unused variable 'rejected'
Warning at line 2262, column 9: Unused variable 'rejected'
Warning at line 2269, column 13: Unused variable 'rejected'
Warning at line 5384, column 17: Unused variable 'imported'
[shadow-progress] elapsed_ms=15.234 admission_calls=39 admission_ms=30.186 assert_traps=35 full_calls=4 full_ns=30185378 reuse_calls=35 reuse_ns=1088 admission_ns=30186466 leave fn=587 pc=155019 name=$shadow_24_diag_id_import_failed
[shadow-progress] elapsed_ms=15.235 admission_calls=39 admission_ms=30.186 assert_traps=35 full_calls=4 full_ns=30185378 reuse_calls=35 reuse_ns=1088 admission_ns=30186466 enter fn=588 pc=155032 name=$shadow_25_diag_id_type_failed
[shadow-progress] elapsed_ms=15.237 admission_calls=40 admission_ms=30.186 assert_traps=36 full_calls=4 full_ns=30185378 reuse_calls=36 reuse_ns=1120 admission_ns=30186498 leave fn=588 pc=155032 name=$shadow_25_diag_id_type_failed
[shadow-progress] elapsed_ms=15.239 admission_calls=40 admission_ms=30.186 assert_traps=36 full_calls=4 full_ns=30185378 reuse_calls=36 reuse_ns=1120 admission_ns=30186498 enter fn=589 pc=155045 name=$shadow_26_diag_id_mod_compile
[shadow-progress] elapsed_ms=15.242 admission_calls=41 admission_ms=30.187 assert_traps=37 full_calls=4 full_ns=30185378 reuse_calls=37 reuse_ns=1136 admission_ns=30186514 leave fn=589 pc=155045 name=$shadow_26_diag_id_mod_compile
[shadow-progress] elapsed_ms=15.243 admission_calls=41 admission_ms=30.187 assert_traps=37 full_calls=4 full_ns=30185378 reuse_calls=37 reuse_ns=1136 admission_ns=30186514 enter fn=590 pc=155058 name=$shadow_27_diag_id_shadow_failed
[shadow-progress] elapsed_ms=15.245 admission_calls=42 admission_ms=30.187 assert_traps=38 full_calls=4 full_ns=30185378 reuse_calls=38 reuse_ns=1168 admission_ns=30186546 leave fn=590 pc=155058 name=$shadow_27_diag_id_shadow_failed
[shadow-progress] elapsed_ms=15.247 admission_calls=42 admission_ms=30.187 assert_traps=38 full_calls=4 full_ns=30185378 reuse_calls=38 reuse_ns=1168 admission_ns=30186546 enter fn=591 pc=155071 name=$shadow_28_diag_id_trans_failed
[shadow-progress] elapsed_ms=15.248 admission_calls=43 admission_ms=30.187 assert_traps=39 full_calls=4 full_ns=30185378 reuse_calls=39 reuse_ns=1200 admission_ns=30186578 leave fn=591 pc=155071 name=$shadow_28_diag_id_trans_failed
[shadow-progress] elapsed_ms=15.250 admission_calls=43 admission_ms=30.187 assert_traps=39 full_calls=4 full_ns=30185378 reuse_calls=39 reuse_ns=1200 admission_ns=30186578 enter fn=592 pc=155084 name=$shadow_29_diag_id_c_temp
[shadow-progress] elapsed_ms=15.251 admission_calls=44 admission_ms=30.187 assert_traps=40 full_calls=4 full_ns=30185378 reuse_calls=40 reuse_ns=1232 admission_ns=30186610 leave fn=592 pc=155084 name=$shadow_29_diag_id_c_temp
[shadow-progress] elapsed_ms=15.253 admission_calls=44 admission_ms=30.187 assert_traps=40 full_calls=4 full_ns=30185378 reuse_calls=40 reuse_ns=1232 admission_ns=30186610 enter fn=593 pc=155097 name=$shadow_30_diag_id_cc_cmd
[shadow-progress] elapsed_ms=15.254 admission_calls=45 admission_ms=30.187 assert_traps=41 full_calls=4 full_ns=30185378 reuse_calls=41 reuse_ns=1248 admission_ns=30186626 leave fn=593 pc=155097 name=$shadow_30_diag_id_cc_cmd
[shadow-progress] elapsed_ms=15.256 admission_calls=45 admission_ms=30.187 assert_traps=41 full_calls=4 full_ns=30185378 reuse_calls=41 reuse_ns=1248 admission_ns=30186626 enter fn=594 pc=155110 name=$shadow_31_diag_id_cc_failed
[shadow-progress] elapsed_ms=15.258 admission_calls=46 admission_ms=30.187 assert_traps=42 full_calls=4 full_ns=30185378 reuse_calls=42 reuse_ns=1280 admission_ns=30186658 leave fn=594 pc=155110 name=$shadow_31_diag_id_cc_failed
[shadow-progress] elapsed_ms=15.259 admission_calls=46 admission_ms=30.187 assert_traps=42 full_calls=4 full_ns=30185378 reuse_calls=42 reuse_ns=1280 admission_ns=30186658 enter fn=595 pc=155123 name=$shadow_32_diag_id_src_utf8
[shadow-progress] elapsed_ms=15.261 admission_calls=47 admission_ms=30.187 assert_traps=43 full_calls=4 full_ns=30185378 reuse_calls=43 reuse_ns=1296 admission_ns=30186674 leave fn=595 pc=155123 name=$shadow_32_diag_id_src_utf8
[shadow-progress] elapsed_ms=15.262 admission_calls=47 admission_ms=30.187 assert_traps=43 full_calls=4 full_ns=30185378 reuse_calls=43 reuse_ns=1296 admission_ns=30186674 enter fn=596 pc=155136 name=$shadow_33_diag_en
[shadow-progress] elapsed_ms=360.329 admission_calls=97 admission_ms=375.239 assert_traps=47 full_calls=50 full_ns=375237613 reuse_calls=47 reuse_ns=1392 admission_ns=375239005 leave fn=596 pc=155136 name=$shadow_33_diag_en
[shadow-progress] elapsed_ms=360.333 admission_calls=97 admission_ms=375.239 assert_traps=47 full_calls=50 full_ns=375237613 reuse_calls=47 reuse_ns=1392 admission_ns=375239005 enter fn=597 pc=155205 name=$shadow_34_walkdir
[shadow-progress] elapsed_ms=404.462 admission_calls=108 admission_ms=412.790 assert_traps=53 full_calls=55 full_ns=412788459 reuse_calls=53 reuse_ns=1584 admission_ns=412790043 leave fn=597 pc=155205 name=$shadow_34_walkdir
[shadow-progress] elapsed_ms=404.468 admission_calls=108 admission_ms=412.790 assert_traps=53 full_calls=55 full_ns=412788459 reuse_calls=53 reuse_ns=1584 admission_ns=412790043 enter fn=598 pc=155361 name=$shadow_35_canonical
[shadow-progress] elapsed_ms=455.321 admission_calls=120 admission_ms=457.821 assert_traps=59 full_calls=61 full_ns=457819492 reuse_calls=59 reuse_ns=1744 admission_ns=457821236 leave fn=598 pc=155361 name=$shadow_35_canonical
